327	34592	29089	3370
328	29781	28908	3379
329	29859	28750	3385
330	46777	28907	995883
331	30860	29050	1000942
332	30527	29035	4950
333	31241	29153	4820
334	30920	29089	1082524
335	31141	29237	4207
336	31283	29125	1007639
337	31676	29243	4222
338	31413	29470	1006327
339	31936	29159	4210
340	33586	29367	3494
341	31776	29554	3548
342	31739	30113	3545
343	31906	30213	3820
344	32087	29917	3599
345	32000	30122	1017413
346	32135	30754	5253
347	32688	30446	3932
348	32528	30497	3627
349	32495	30805	1022406
350	32631	30534	1115641
351	34293	30814	6598
352	33299	31069	1107258
353	33133	31008	4388
354	34169	31286	1013662
355	33604	31071	4427
356	33290	31486	1187721
357	33275	31361	9569
358	33465	31869	3690
359	34073	31495	3669
360	34043	33381	1197550
361	34184	36962	4957
362	33970	33961	1012341
363	35430	32126	1019876
364	34124	36923	1051292
365	34825	35360	5504
366	34547	32776	1133892
367	34864	35251	1129042
368	34828	32927	4808
369	35082	36844	1077341
370	35251	37684	1065382
371	35584	36354	1092286
372	35475	38222	5123
373	36427	37944	1162579
374	59233	36064	5410
375	36143	38382	1096713
376	36010	35771	11475
377	36046	35979	1002274
378	35904	39235	999712
379	36853	37110	1005581
380	57442	37041	1005708
381	36895	39301	4742
382	36306	37881	997738
383	36372	36357	4821
384	36321	35985	999875
385	36557	36614	1029145
386	36624	36385	4990
387	36729	35058	4419
388	36795	35043	4494
389	36771	35209	4373
390	38427	34855	4325
391	38316	34910	4572
392	37427	35131	1224462
393	55143	35411	5241
394	43275	34994	4074
395	42919	34964	1111346
396	39234	35484	1076746
397	38621	35300	5071
398	43905	35158	1075772
399	39504	35384	1047747
400	57198	35717	1111567
401	38687	35786	1209726
402	38288	36019	6948
403	38391	35411	4089
404	39032	37418	1035211
405	38449	37164	999410
406	45216	35859	999654
407	48873	35611	997850
408	39576	35523	5047
409	38905	36016	6313
410	38866	35638	5498
411	39316	37699	4881
412	38914	36390	4932
413	39123	36883	5110
414	41423	36823	4851
415	39591	37119	1091373
416	40413	36820	1048285
417	39543	37920	5594
418	46098	37554	5509
419	42045	37270	5225
420	50876	39274	4787
421	40990	38409	4367
422	40679	37448	1006243
423	39815	37663	5171
424	39600	37726	1025431
425	58743	38663	5927
426	40513	38098	4557
427	40855	39041	4630
428	40120	38639	1159016
429	40150	38488	5232
430	43874	38564	1252626
431	40247	38670	5606
432	41510	38696	4428
433	40274	38875	4824
434	40262	39008	4690
435	40531	38669	1053118
436	40945	39086	6030
437	42767	38905	4555
438	41474	38905	4473
439	42326	39350	4449
440	41474	39044	4751
441	40857	39065	4558
442	42106	39379	4917
443	46645	39195	4926
444	41510	39192	1025029
445	41631	39277	998174
446	41779	39219	5476
447	43242	39857	996566
448	42205	39231	5839
449	42347	39588	1005829
450	42308	40050	5473
451	42544	39531	996273
452	42381	42299	1003459
453	44282	40141	995278
454	42807	39999	1002332
455	44118	39978	5543
456	42864	40096	4703
457	42946	40824	4678
458	43351	40392	5002
459	43085	40619	993362
460	43118	40628	5585
461	43157	41419	5071
462	44496	41099	4784
463	44620	41528	4808
464	43444	41655	5144
465	43372	41706	994804
466	43414	41861	5761
467	43556	41773	4851
468	43644	41637	997560
469	44820	42076	5703
470	43973	42272	4917
471	45294	42066	5486
472	44276	42426	995052
473	44134	42915	995807
474	44200	42447	999724
475	44793	42326	995351
476	44548	42695	995717
477	44735	44010	5809
478	44744	43759	1054154
479	46243	43088	5875
480	45231	43481	4993
481	45086	43762	4996
482	45128	43318	1016911
483	45170	43324	5854
484	45212	43677	998228
485	45421	43638	5857
486	45285	43919	1022569
487	46890	44451	1020858
488	45799	47670	5896
489	45466	48655	5098
490	45539	46839	5092
491	45965	44212	1005152
492	45893	44233	999957
493	45893	45052	6011
494	45986	44520	6447
495	50864	45079	5271
496	68795	44871	997962
